Rule,Utilitarian Ratio,Representation Ratio,Raw Representation Score,EJR Score,JR Score,PJR Score
av,0.956,0.991,99.15,1.0,1.0,1.0
cc,0.78,1.0,100.0,0.95,1.0,0.95
seqcc,0.704,1.0,100.0,1.0,1.0,1.0
rule-x,0.956,0.994,99.44,1.0,1.0,1.0
minimaxav,0.863,1.0,100.0,1.0,1.0,1.0
sav,0.956,0.991,99.15,1.0,1.0,1.0
slav,0.956,0.996,99.57,1.0,1.0,1.0
pav,0.956,0.994,99.45,1.0,1.0,1.0
seqpav,0.956,0.994,99.45,1.0,1.0,1.0
geom1.5,0.957,0.994,99.43,1.0,1.0,1.0
geom2,0.954,0.996,99.59,1.0,1.0,1.0
geom5,0.927,1.0,99.99,1.0,1.0,1.0
monroe,0.898,1.0,100.0,1.0,1.0,1.0
