Rule,Utilitarian Ratio,Representation Ratio,Raw Representation Score,EJR Score,JR Score,PJR Score
av,0.956,0.876,87.62,1.0,1.0,1.0
cc,0.763,1.0,100.0,0.57,1.0,0.85
seqcc,0.849,0.999,99.95,1.0,1.0,1.0
rule-x,0.946,0.962,96.24,1.0,1.0,1.0
minimaxav,0.837,1.0,100.0,0.94,1.0,0.99
sav,0.956,0.876,87.62,1.0,1.0,1.0
slav,0.935,0.985,98.5,1.0,1.0,1.0
pav,0.949,0.963,96.3,1.0,1.0,1.0
seqpav,0.952,0.961,96.08,1.0,1.0,1.0
geom1.5,0.951,0.96,96.0,1.0,1.0,1.0
geom2,0.931,0.989,98.88,1.0,1.0,1.0
geom5,0.904,1.0,99.96,1.0,1.0,1.0
monroe,0.9,0.999,99.92,1.0,1.0,1.0
