Rule,Utilitarian Ratio,Representation Ratio,Voter Coverage,Voter Satisfaction,EJR Score,PJR Score,JR Score
av,0.954,0.932,92.99,2.704,1.0,1.0,1.0
cc,0.791,1.0,99.75,1.766,0.95,0.96,1.0
seqcc,0.816,0.997,99.48,1.897,0.97,0.97,1.0
rule-x,0.934,0.963,96.06,2.643,1.0,1.0,1.0
minimaxav,0.781,0.84,83.95,1.632,0.79,0.79,0.82
sav,0.954,0.932,92.99,2.704,1.0,1.0,1.0
slav,0.917,0.978,97.6,2.589,1.0,1.0,1.0
pav,0.929,0.966,96.33,2.643,1.0,1.0,1.0
seqpav,0.931,0.965,96.23,2.645,1.0,1.0,1.0
geom1.5,0.934,0.958,95.6,2.66,1.0,1.0,1.0
geom2,0.916,0.979,97.62,2.579,1.0,1.0,1.0
geom5,0.874,0.994,99.17,2.362,1.0,1.0,1.0
monroe,0.887,0.988,98.57,2.306,1.0,1.0,1.0
