Rule,Utilitarian Ratio,Representation Ratio,Voter Coverage,Voter Satisfaction,EJR Score,PJR Score,JR Score
av,0.979,0.881,88.13,3.443,0.93,0.93,0.93
cc,0.728,1.0,100.0,1.58,0.51,0.64,1.0
seqcc,0.785,1.0,100.0,1.947,0.75,0.78,1.0
rule-x,0.955,0.977,97.68,3.256,1.0,1.0,1.0
minimaxav,0.857,1.0,99.99,2.552,1.0,1.0,1.0
sav,0.979,0.883,88.26,3.443,0.93,0.93,0.93
slav,0.943,0.993,99.28,3.179,1.0,1.0,1.0
pav,0.953,0.981,98.12,3.254,1.0,1.0,1.0
seqpav,0.952,0.979,97.94,3.258,1.0,1.0,1.0
geom1.5,0.951,0.98,98.02,3.248,1.0,1.0,1.0
geom2,0.93,0.996,99.61,3.079,1.0,1.0,1.0
geom5,0.885,1.0,100.0,2.762,1.0,1.0,1.0
monroe,0.866,1.0,99.97,2.569,1.0,1.0,1.0
