Rule,Utilitarian Ratio,Representation Ratio,Voter Coverage,Voter Satisfaction,EJR Score,PJR Score,JR Score
av,0.981,0.962,96.17,3.573,1.0,1.0,1.0
cc,0.747,1.0,100.0,1.742,0.64,0.7,1.0
seqcc,0.79,1.0,100.0,2.034,0.83,0.87,1.0
rule-x,0.972,0.987,98.73,3.494,1.0,1.0,1.0
minimaxav,0.828,1.0,100.0,2.55,0.96,0.96,1.0
sav,0.981,0.962,96.17,3.573,1.0,1.0,1.0
slav,0.97,0.994,99.37,3.464,1.0,1.0,1.0
pav,0.975,0.985,98.53,3.522,1.0,1.0,1.0
seqpav,0.976,0.985,98.53,3.522,1.0,1.0,1.0
geom1.5,0.975,0.985,98.55,3.513,1.0,1.0,1.0
geom2,0.955,0.997,99.67,3.379,1.0,1.0,1.0
geom5,0.906,1.0,100.0,3.08,1.0,1.0,1.0
monroe,0.885,1.0,99.98,2.821,1.0,1.0,1.0
