Rule,Utilitarian Ratio,Representation Ratio,Voter Coverage,Voter Satisfaction,EJR Score,PJR Score,JR Score
av,0.956,0.834,83.23,2.687,1.0,1.0,1.0
cc,0.776,1.0,99.79,1.403,0.78,0.82,1.0
seqcc,0.82,0.996,99.41,1.655,0.91,0.91,1.0
rule-x,0.925,0.957,95.5,2.47,1.0,1.0,1.0
minimaxav,0.784,0.867,86.7,1.41,0.76,0.77,0.86
sav,0.956,0.834,83.23,2.687,1.0,1.0,1.0
slav,0.92,0.968,96.58,2.443,1.0,1.0,1.0
pav,0.921,0.959,95.74,2.472,1.0,1.0,1.0
seqpav,0.924,0.958,95.58,2.475,1.0,1.0,1.0
geom1.5,0.935,0.927,92.53,2.543,1.0,1.0,1.0
geom2,0.919,0.966,96.44,2.441,1.0,1.0,1.0
geom5,0.871,0.992,99.03,2.106,1.0,1.0,1.0
monroe,0.891,0.976,97.35,2.25,1.0,1.0,1.0
