Rule,Utilitarian Ratio,Representation Ratio,Voter Coverage,Voter Satisfaction,EJR Score,PJR Score,JR Score
av,0.978,0.97,97.03,3.598,1.0,1.0,1.0
cc,0.73,1.0,100.0,1.65,0.58,0.62,1.0
seqcc,0.798,1.0,100.0,2.116,0.84,0.86,1.0
rule-x,0.967,0.989,98.95,3.511,1.0,1.0,1.0
minimaxav,0.827,1.0,100.0,2.51,0.99,0.99,1.0
sav,0.978,0.97,97.03,3.598,1.0,1.0,1.0
slav,0.97,0.993,99.3,3.505,1.0,1.0,1.0
pav,0.976,0.986,98.59,3.562,1.0,1.0,1.0
seqpav,0.975,0.986,98.58,3.562,1.0,1.0,1.0
geom1.5,0.975,0.986,98.59,3.552,1.0,1.0,1.0
geom2,0.956,0.996,99.57,3.431,1.0,1.0,1.0
geom5,0.909,1.0,100.0,3.133,1.0,1.0,1.0
monroe,0.879,1.0,100.0,2.792,1.0,1.0,1.0
