Rule,Utilitarian Ratio,Representation Ratio,Voter Coverage,Voter Satisfaction,EJR Score,PJR Score,JR Score
av,0.975,0.889,88.93,3.482,0.93,0.93,0.93
cc,0.732,1.0,100.0,1.516,0.4,0.57,1.0
seqcc,0.789,1.0,100.0,1.922,0.71,0.75,1.0
rule-x,0.947,0.984,98.44,3.249,1.0,1.0,1.0
minimaxav,0.831,1.0,100.0,2.346,0.92,0.93,1.0
sav,0.975,0.889,88.93,3.482,0.93,0.93,0.93
slav,0.936,0.994,99.44,3.21,1.0,1.0,1.0
pav,0.949,0.981,98.15,3.293,1.0,1.0,1.0
seqpav,0.952,0.98,98.04,3.297,1.0,1.0,1.0
geom1.5,0.946,0.981,98.14,3.283,1.0,1.0,1.0
geom2,0.924,0.997,99.71,3.093,1.0,1.0,1.0
geom5,0.882,1.0,100.0,2.789,1.0,1.0,1.0
monroe,0.869,0.999,99.95,2.642,1.0,1.0,1.0
