Rule,Utilitarian Ratio,Representation Ratio,Voter Coverage,Voter Satisfaction,EJR Score,PJR Score,JR Score
av,0.978,0.96,95.98,3.548,1.0,1.0,1.0
cc,0.752,1.0,100.0,1.701,0.66,0.79,1.0
seqcc,0.798,1.0,100.0,2.113,0.88,0.9,1.0
rule-x,0.965,0.987,98.7,3.456,1.0,1.0,1.0
minimaxav,0.834,1.0,100.0,2.515,0.96,0.98,1.0
sav,0.978,0.96,95.98,3.548,1.0,1.0,1.0
slav,0.964,0.992,99.23,3.444,1.0,1.0,1.0
pav,0.971,0.985,98.55,3.494,1.0,1.0,1.0
seqpav,0.973,0.984,98.43,3.498,1.0,1.0,1.0
geom1.5,0.968,0.986,98.6,3.479,1.0,1.0,1.0
geom2,0.949,0.996,99.62,3.344,1.0,1.0,1.0
geom5,0.903,1.0,100.0,3.063,1.0,1.0,1.0
monroe,0.874,1.0,99.99,2.765,1.0,1.0,1.0
