Rule,Utilitarian Ratio,Representation Ratio,Voter Coverage,Voter Satisfaction,EJR Score,PJR Score,JR Score
av,0.962,0.854,85.4,3.209,0.98,0.98,0.98
cc,0.733,1.0,100.0,1.441,0.46,0.55,1.0
seqcc,0.794,1.0,100.0,1.879,0.87,0.91,1.0
rule-x,0.927,0.97,97.03,2.992,1.0,1.0,1.0
minimaxav,0.811,1.0,100.0,2.082,0.92,0.95,1.0
sav,0.962,0.854,85.4,3.209,0.98,0.98,0.98
slav,0.92,0.991,99.08,2.902,1.0,1.0,1.0
pav,0.932,0.972,97.18,2.999,1.0,1.0,1.0
seqpav,0.932,0.969,96.9,3.005,1.0,1.0,1.0
geom1.5,0.936,0.961,96.09,3.029,1.0,1.0,1.0
geom2,0.91,0.993,99.31,2.852,1.0,1.0,1.0
geom5,0.867,1.0,99.99,2.512,1.0,1.0,1.0
monroe,0.851,0.999,99.86,2.397,1.0,1.0,1.0
